link,date,author,desc,title,text,rubric,diff
https://nplus1.ru//news/2021/12/10/heavy-dark-matter,2021-12-10,Андрей Фельдман,,Ученые предложили новую модель темной материи с тяжелыми составными частицами,"Группа физиков-теоретиков предложила новую модель темной материи, в которой набор фундаментальных частиц и их взаимодействий похож на сильно-взаимодействующий сектор Стандартной модели, описываемый квантовой хромодинамикой. В рамках этого описания наблюдаемая в настоящее время темная материя состоит из аналогов привычных нам сильно-взаимодействующих частиц, но с темными кварками и глюонами входящими в их состав. Эти частицы образуются в ранней Вселенной во время фазового перехода конфайнмент/деконфаймент и имеют большую массу, а также потенциально достаточно сильно взаимодействуют с частицами Стандартной модели, что объясняет трудности с их экспериментальным обнаружением в лабораторных экспериментах. Исследование опубликовано в Physical Review Letters.Астрономические наблюдения за темпом расширения Вселенной, скоростью движения звезд в галактиках, а также теоретический анализ темпа формирования последних, указывают на то, что около 85 процентов массы вещества приходится на темную материю. Главным кандидатом на роль ее составляющих считаются массивные элементарные частицы, участвующие только в слабом и гравитационном взаимодействиях — вимпы (WIMP, weakly interacting massive particle), однако не существует общепринятой теории, описывающей количество этих частиц, их свойства, а также детали их взаимодействия друг с другом и с другими частицами.Одна из гипотез происхождения темной материи гласит, что ее частицы могут быть составными, и устроены они аналогично привычным нам адронам, состоящим из кварков и глюонов. В таких теориях существует характерный масштаб энергий Λ, при котором происходит конфайнмент — если энергия взаимодействующих фундаментальных частиц падает ниже этой энергии, то они объединяются в темный адрон. Когда физики рассматривают космологическую эволюцию темной материи, то возможны два варианта: Λ больше энергии, при которой происходит вымораживание темных кварков, то есть их выпадение из термодинамического равновесия с другими частицами, или же она меньше. Первый вариант рассматривался учеными ранее, и приводил к результатам качественно близким к другим моделям темной энергии, состоящей из вимпов.Группа физиков-теоретиков из Израиля и США под руководством Юрия Смирнова (Juri Smirnov) из университета Огайо детально проанализировала космологическую эволюцию составной темной материи в ситуации, когда вымораживание происходит раньше фазового перехода конфайнмент/деконфайнмент в процессе расширения Вселенной, и выяснила, что в этом случае она существенно отличается от того, что происходит в других моделях этого типа вещества. Фундаментальными составляющими темной материи в предложенной физиками модели являются нехиральные темные кварки и антикварки трех цветов, а также темные глюоны, переносящие аналогичное сильному взаимодействие между кварками. В отличие от Стандартной модели, темный сектор содержит всего один аромат кварков, масса которых mq к тому же очень велика — более чем в 100 раз превышает масштаб темного конфайнмента, а это означает, что к моменту, когда температура Вселенной опускается до энергии Λ, темные кварки являются глубоко нерелятивистскими, а такие частицы всегда вымораживаются.Образование составных частиц, из которых темная материя предположительно состоит сегодня, происходило следующим образом. Пока температура Вселенной существенно превышает Λ, темный сектор материи находится в фазе деконфаймента и частицы этого сектора представляют собой кварк-глюонную плазму. Когда температура подходит к энергии фазового перехода достаточно близко, во Вселенной начинают образовываться пузыри нового вакуума, в котором происходит конфайнмент темной материи. Эти пузыри растут, и «толкают» перед собой темные кварки, которым энергетически невыгодно находиться внутри пузыря новой фазы. Энергия кварков при попадании в пузырь стала бы гораздо больше, чем снаружи, так как в фазе конфайнмента между кварками обязательно образуется трубка глюонного поля, энергия которой пропорциональна ее длине. Для темного кварка, случайно попавшего внутрь пузыря, расстояние до другого кварка там скорее всего было бы достаточно большим, а значит большой была бы и энергия глюонной трубки. Если бы масса кварков была меньше или сравнима с масштабом темного конфайнмента Λ, то трубка могла бы разорваться из-за образования кварк-антикварковой пары, превратившей новый кварк и один из кварков внутри пузыря в два темных мезона, но для тяжелых кварков такой процесс еще более невыгоден энергетически. Из-за этого и возникает качественное различие в космологической эволюции темной материи при mq > Λ и mq < Λ.Со временем пузыри вакуума фазы конфайнмента вырастают настолько, что их объем становится больше, чем объем пространства с вакуумом деконфайнмента, которое само начинает превращаться в изолированные пузыри, содержащие в себе все темные кварки и антикварки. Количество темных частиц и античастиц очень близко, а потому почти все собранные в сжимающихся пузырях старой фазы кварки и антикварки аннигилируют. В каждом таком пузыре случайным образом образуется небольшой избыток темных кварков или антикварков, которым аннигилировать не с чем, и они формируют темные барионы или антибарионы, которые и представляют собой составные частицы темной материи в вакууме конфайнмента, когда пузыри старой фазы окончательно схлопнутся. Так как почти вся изначально существовавшая темная материя аннигилирует, после завершения фазового перехода остается мало ее составных частиц.Чтобы получить реалистичную полную массу темной материи, которую мы сейчас наблюдаем, масса одного темного бариона должна быть порядка 103–105 тераэлектронвольт. То, что частиц темной материи мало, а их масса велика, хорошо объясняет трудности с их экспериментальным обнаружением в лабораторных экспериментах. Астрофизики могут не видеть негравитационные взаимодействия частиц темной материи с другими не из-за слабости этого взаимодействия, а из-за его редкости, и если это взаимодействие сильно, то частицы темной материи не могут долететь до подземных детекторов типа XENON из-за их взаимодействия с веществом земной коры. В ускорителях же такие тяжелые частицы не могут родиться просто из-за того, что их массы существенно превышают энергии сталкивающихся там частиц.",Физика,['8.7']
https://nplus1.ru//news/2021/12/10/batman-river-loach-returns,2021-12-10,Сергей Коленов,,Турецкие ихтиологи переоткрыли «вымершую» рыбу спустя почти 50 лет,"Ихтиологи переоткрыли батманского гольца — редкую рыбу, которая обитает в реках на юго-востоке Турции. Представителей этого вида не наблюдали с 1974 года, поэтому многие ученые считали, будто они вымерли. Гольцов удалось обнаружить в двух ручьях — и их популяция здесь, похоже, стабильна. Однако, как отмечается в пресс-релизе природоохранной организации Shoal, скорее всего, на этих рыбах негативно сказываются загрязнение, засухи и строительство плотин.Обитатели рек, озер и болот по всему миру сильно страдают от последствий человеческой деятельности. Многие из них оказались под угрозой вымирания из-за осушения водоемов, строительства дамб и гидроэлектростанций, загрязнения воды, распространения инвазивных видов и чрезмерного промысла. В первую очередь это касается пресноводной мегафауны, например, крупных рыб и черепах, речных дельфинов и гигантских выдр. Отдельные ее представители, например, китайский псефур (Psephurus gladius) и китайский речной дельфин (Lipotes vexillifer), скорее всего исчезли, а другие, включая черепах Свайно (Rafetus swinhoei), рискуют последовать за ними в ближайшие годы.Однако среди мелких пресноводных животных также достаточно видов, которые находятся в критическом положении. Некоторые из них не попадались людям на глаза уже много лет. В попытке привлечь внимание к этой проблеме природоохранные организации Shoal и Re:wild составили список из десяти «потерянных» видов пресноводных рыб, которых ученые не встречали как минимум десять лет. В него вошли, в частности, такие виды, как сырдарьинский лопатонос (Pseudoscaphirhynchus fedtschenkoi), мадагаскарская цихлида Ptychochromoides itasy и слепая иракская рыба Caecocypris basimi. Сотрудники Shoal и Re:wild намерены сосредоточить усилия на поиске этих рыб, в первую очередь за счет сотрудничества с исследовательскими командами на местах.Инициатива Shoal и Re:wild уже начала давать первые плоды. Турецкие ихтиологи Джюнейт Кая (Cüneyt Kaya) и Мюневвер Орал (Münevver Oral) из Университета Реджепа Тайипа Эрдогана сумели переоткрыть батманского гольца Paraschistura chrysicristinae. Эта мелкая, длиной до 3,6 сантиметра, полосатая рыба из семейства немахейловых (Nemacheilidae) обитает исключительно на юго-востоке Турции, в реке Батман, ручье Амбар и их притоках.Попытки найти гольцов на участках, где их встречали в 1970 годах (сейчас они находятся ниже по течению от плотины на реке Батман), оказались безуспешными. Поэтому в октябре-ноябре этого года Кая и Орал обследовали ручьи Сарим и Хан, которые впадают в реку Батман выше по течению от плотины. Здесь исследователям наконец улыбнулась удача: в Сариме они поймали четырнадцать батманских гольцов, а в Хане — девять. Возможно, успех поисков связан с тем, что в этот раз Кая и Орал использовали сачки с более мелкой ячеей, из которых этим мелким рыбам труднее сбежать.Ученым удалось доказать, что батманский голец не вымер. Однако теперь им предстоит работа по оценке угроз, с которыми сталкивается этот вид. Исследователи отмечают, что батманские гольцы очень мелкие, поэтому местные жители их не ловят, предпочитая добывать, например, форель. Это значит, что промысел этим рыбам не угрожает. Более того, популяция вида кажется стабильной. Тем не менее, исследователи опасаются, что гольцы могут пострадать из-за загрязнения, засух и дробления популяции из-за плотины. Чтобы помочь редким рыбам выжить, они намерены запустить в регионе образовательную программу.","Зоология
Экология и климат",['2.5']
https://nplus1.ru//news/2021/12/10/nanographene-reduction,2021-12-10,Михаил Бойм,,Щелочные металлы селективно восстановили нанографен,"Химикам впервые удалось селективно восстановить фрагмент наноразмерного бислоя графена. Они использовали калий и рубидий для реакции восстановления, а затем определили структуру продуктов и изучили механизм реакции. Оказалось, что превращение протекает через последовательное присоединение трех электронов и отрыв атомов водорода от молекул воды, пишут ученые в Angewandte Chemie.Обычный графен (графитовый монослой) имеет нулевую ширину запрещенной зоны, то есть является проводником, что ограничивает сферы его применения. Но ученые научились синтезировать нанографеновые частицы, обладающие полупроводниковыми свойствами. Это позволило применить материалы из графена в оптоэлектронике.Одна из распространенных реакций таких соединений — интеркаляция щелочных металлов. В этом процессе атомы металла встраиваются между слоями из углеродных колец. Некоторые из таких соединений обладают необычными физическими свойствами, поэтому они вызывают у химиков особый интерес.Группа исследователей под руководством Марины Петрухиной (Marina S. Petrukhina) из Университета в Олбани и Насарио Мартина (Nazario Martin) из Мадридского университета Комплутенсе решила выяснить, как бислой нанографена может реагировать с калием или рубидием. Для этого они использовали ранее синтезированный в их лаборатории нанографен, в котором два графеновых слоя связаны гелиценовым фрагментом (спиралью из шестичленных углеродных колец).Такой результат удивил химиков, потому что нанографен содержит множество похожих углерод-углеродных связей, каждая из которых способна восстанавливаться. При этом в реакцию вступил только один небольшой фрагмент бислоя. Чтобы объяснить это явление, химики провели компьютерный расчет механизма реакции с помощью метода DFT (Density Functional Theory). В результате оказалось, что орбиталь, принимающая на себя электроны щелочных металлов, локализована именно на спиральном фрагменте нанографена. Причем дополнительная электронная плотность сосредотачивается на тех атомах, которые затем отщепляют водород от молекул воды, находящихся в полостях нанографеновой структуры.",Химия,['6.7']
https://nplus1.ru//news/2021/12/10/hifly,2021-12-10,Василиса Чернявцева,,Российский производитель майонеза испытал аэротакси собственной разработки,"Компания «Эфко», известная майонезом, подсолнечным маслом и кетчупом «Слобода», показала испытания прототипа аэротакси Hi-Fly Taxi в беспилотном режиме. В конце следующего года Hi-Fly Taxi будет летать по выделенным маршрутам в Белгородской области.Аэротакси — это собирательный термин для небольших электрических летательных аппаратов с вертикальным взлетом и посадкой, способных перевозить несколько человек. Их разработкой сегодня занимается целый ряд компаний от стартапов, как Vertical Aerospace, до авиастроительных концернов, как Airbus. Инновационный центр «Бирюч» компании «Эфко» занимается разработкой Hi-Fly Taxi с прошлого декабря. Аэротакси представляет собой мультикоптер с 16 электрическими двигателями, расположенными в двух плоскостях. Разработчики говорят, что такая конструкция позволяет достичь оптимального соотношения между маневренностью и устойчивостью.Hi-Fly Taxi семь метров в длину и два — в высоту. Дальность полета аэротакси оценивается в 150 километров, скорость — в 150 километров в час, а грузоподъемность — в 200 килограмм. «Эфко» 10 декабря показала летные испытания прототипа Hi-Fly Taxi. Первый успешный полет аппарата прошел в октябре 2021 года в беспилотном режиме. До этого он уже поднимался в воздух, но в ручном режиме и не всегда удачно. Например, в сентябре во время тестирования без противопереворотной системы у аэротакси отказал компас и произошла небольшая авария. Пока прототип Hi-Fly Taxi может пролетать до 15 километров и перевозить грузы до 120 килограмм. Он оснащен литий-ионными аккумуляторами. Разработчики планируют, что в следующем году аэротакси начнет летать по выделенным маршрутам в Белгородской области на расстояние до 50 километров. Кроме аэротакси «Эфко» создает грузовой беспилотник Hi-Fly Cargo и планирует запустить их в серийное производство к 2024 году. Предполагается, что к этому моменту Hi-Fly Cargo сможет летать на расстояния до 600 километров со скоростью до 300 километров в час, перевозить до 220 килограмм. Продолжительность полета беспилотника должна составить 180 минут. Первый перелет Hi-Fly Cargo из Алексеевки в Белгород запланирован на 2028 год. ",Авиация,['2.5']
https://nplus1.ru//news/2021/12/10/multiphonon-subtraction,2021-12-10,Марат Хамадеев,,Вычитание фононов с помощью света сделало звук неклассическим,"Физики продемонстрировали возможность вычитания одного и двух фононов из резонатора, унося их энергию с помощью лазерных фотонов. Исследование рассеянного света позволило им провести томографию механического состояния оставшихся фононов, что подтвердило их неклассическую статистику. Работа опубликована в Physical Review Letters.С ростом числа частиц физическим системам свойственно переходить из квантового режима в режим классический. В каждом конкретном случае эта граница своя, и физики по всему миру ищут способы, чтобы сдвинуть ее как можно дальше. Венцом этого процесса стало бы наблюдение состояния квантовой суперпозиции макроскопического тела, кажущуюся абсурдность которой пытался подчеркнуть Шрёдингер с помощью своего знаменитого кота. На сегодняшний день физики добились такого эффекта для не слишком больших объектов, например, 10-микрометровых мембран.Другим отклонением от классического поведения оказывается статистическое распределение по доступным степеням свободы физической системы. Речь идет, например, о числе фотонов или фононов. При переходе к большому числу частиц системы быстро термализуются, то есть неизбежно переходят в состояние, в котором статистика подчиняется распределению Гаусса. Если же удается добиться негауссовой статистики, то такое состояние оказывается неклассическим. В частном случае неклассическое состояние можно представить в виде квантовой суперпозиции классических состояний, что получило название состояний кота Шрёдингера.Важным этапом на пути к созданию таких состояний стала возможность манипуляции отдельными фотонами или фононами, а также прогресс в области квантовой оптомеханики. Физики уже научились видеть вычитание и добавление одиночных квантов звука. И если раньше для этого нужны были низкие температуры, то недавно ученые смогли добиться этого при комнатной температуре и зафиксировать соответствующую негауссову статистику.Группа физиков из Австралии и Великобритании при участии Майкла Вэннера (Michael Vanner) из Имперского колледжа Лондона пошла дальше и, увеличив точность квантовой томографии, пронаблюдала состояния, которые получаются при вычитании двух фотонов. Авторы подтвердили, что, как и в случае вычитания одиночного фотона, среднее число частиц в таких состояниях испытывает контринтуитивное умножение. Если для одиночного вычитания оно удваивается, то для двойного вычитания — утраивается.Чтобы сделать это, физики создавали два оптических резонатора из фторида бария с модами шепчущей галереи в непосредственной близости относительно друг друга. Резонаторы были настроены на частоту лазера, но немного отличались так, чтобы разница между энергиями запасенных ими фотонов равнялась энергии возбужденных в образце фононов. Это давало авторам возможность фиксировать увеличение и уменьшение числа фононов на единицу, наблюдая за стоксовым и антистоксовым обменом энергией между резонаторами с помощью детектирования соответствующих одиночных фотонов, попадающих на лавинный детектор.Помимо управляющей функции, лазерное излучение, провзаимодействовавшее с фононами, несло информацию об их статистике. Для томографии механического состояния такие фотоны через дополнительный волновод передавались на балансный гетеродинный детектор. Сигнал с лавинного детектора запускал в нем сравнение состояний фотонов с когерентными состояниями, что позволяло физикам извлекать функцию Вигнера, характеризующую статистику механический степеней свободы.  Авторы настроили свою установку для вычитания одного и двух фононов и измерили соответствующие s-параметризованных функции Вигнера. Они убедились, что сразу после вычитания статистика фононов имеет существенно негауссовый характер, что выражается в кольцеподобном виде этих функций в фазовом пространстве. Радиус этих колец с хорошей точностью отражал удвоение и утроение среднего числа фононов, предсказываемое теорией.","Физика
Звук",['7.3']
https://nplus1.ru//news/2021/12/10/macrobat,2021-12-10,Василиса Чернявцева,,Африканцы показали концепцию самолета на птичьих ногах,"Южноафриканский стартап Phractyl представил концепцию электрического самолета Macrobat в виде птицы. Он отличается гусеничными опорами, напоминающими птичьи ноги, и частично отклоняемым крылом. Разработчики обещают, что Macrobat сможет взлетать и садиться почти вертикально и развивать скорость до 180 километров в час. Разработчики летательных аппаратов, как и другие инженеры, периодически вдохновляются живой природой. Например, европейский авиаконцерн Airbus создал самолетное крыло, как у альбатроса, а инженеры из канадского Шербрукского университета — беспилотник с когтистыми лапками для посадки на вертикальные поверхности.Южноафриканский стартап Phractyl представил концепцию своего электрического самолета Macrobat в ноябре. Вместо шасси у него две опоры, внешне напоминающие птичьи ноги. Они оборудованы мощными моторами в бедрах, коленях и щиколотках, позволяющими поднимать, опускать и поворачивать фюзеляж, а также гусеничными лентами. Последние должны облегчить Macrobat передвижение по неровному грунту. При взлете ноги поднимают кабину на максимальную высоту, отклоняют ее назад настолько, насколько позволяет хвост, и отклоняет крыло таким образом, чтобы винты на крыльях оказались под углом вверх. В результате Macrobat взлетает почти вертикально. В воздухе опоры складываются и убираются, чтобы снизить лобовое сопротивление. Во время посадки кабина тоже наклоняется назад примерно на 45 градусов. В таком положении пилоту сложно будет увидеть место приземления, и как разработчики планируют решить эту проблему, неясно. Еще один вопрос — смогут ли опоры достаточно смягчить посадку и не дать самолету упасть носом в землю. По проекту Macrobat будет одноместным летательным аппаратом с дальностью полета 150 километров. Он сможет нести до 150 килограмм полезной нагрузки и развивать скорость до 180 километров в час. Macrobat также можно будет управлять дистанционно. Кроме изображений и небольшой деревянной модели самолета у Phractyl есть прототипы его двигательной системы, которые они сейчас тестируют. Разработчики работают над созданием полномасштабного прототипа Macrobat и ищут спонсоров. ",Авиация,['2.2']
https://nplus1.ru//news/2021/12/10/child-mummy,2021-12-10,Михаил Подрезов,,Скифская девочка-воин из Тывы пострадала от рахита,"Биоархеологи исследовали с помощью микрофокусной рентгенографии останки девочки раннескифского времени, которые нашли еще в 1988 году в Тыве. При ней находились хорошо сохранившиеся лук, колчан и стрелы, поэтому исследователи назвали ее воином. Оказалось, что на момент смерти ей было всего шесть–семь лет, а ее рацион основывался на растительной пище. Ученые обнаружили, что девочка перенесла рахит, хотя, вероятно, обладала высоким социальным статусом. Результаты исследования опубликованы в журнале Уральский исторический вестник.В раннем железном веке степную и лесостепную зоны Евразии от Северного Причерноморья до Южной Сибири населяли племена, относящиеся к скифской культурно-исторической общности, которую объединяла так называемая «скифская триада». Так, в VIII–VI веках до нашей эры на территории современной Республики Тыва сложилась алды-бельская археологическая культура, которая известна в основном по погребальным комплексам, например, по курганам с каменным панцирем или кургану Аржан-2, расположенному в скифской «Долине царей».В ходе охранно-спасательных работ, предварявших строительство и запуск Саяно-Шушенской ГЭС, археологи обнаружили на правом берегу Енисея могильник Сарыг-Булун. Он представлял собой восемь курганов диаметром от 8 до 15 метров. В одном из погребений археологи обнаружили частично мумифицированные останки ребенка, которые находились в деревянной колоде. Вместе с ним лежал ряд хорошо сохранившихся древних артефактов, в том числе лук, колчан и десять стрел. Изначально ученые считали, что это останки мальчика, умершего в возрасте 12–13 лет, однако палеогенетики секвенировали ядерную ДНК ребенка и установили, что это была девочка.Исследователи получили около полутора десятков рентгеновских снимков, охватывающих разные области тела. Ученые заметили, что останки ребенка претерпели некоторые посмертные изменения, полученные, видимо, во время извлечения и транспортировки мумии. Больше всего пострадал грудной отдел позвоночника. На снимке черепа биоархеологи увидели две генерации зубов, что позволило уточнить возраст ребенка на момент смерти — около шести—семи лет. Ранее же считалось, что погребение принадлежало подростку.На метафизах плечевых костей ученые обнаружили балки костного вещества, свидетельствующие о регулярных физических нагрузках на руки, что не свойственно современным детям такого возраста. На бедренных и правой большеберцовой костях биоархеологи нашли свидетельства резкого голодания или лихорадочного состояния, которое ребенок испытал как минимум за год до своей смерти. Никаких следов переломов или травм исследователи не заметили, однако на левой бедренной кости они обнаружили признаки недостатка витамина D, то есть рахита. Это подтверждается и искривлением левой лучевой кости. Кроме того, возможно, ребенка рано приучали к верховой езде.На снимках ученые также увидели рядом с левой рукой девочки железное кольцо, которое, видимо, ей надели после смерти. Кроме того, у правой малоберцовой кости находился металлический предмет похожий на скобку, а у кисти правой руки лежал металлический артефакт в виде ножа.Исследование митохондриального генома показало, что девочка была носителем гаплогруппы D4g2. В современном мире носители гаплогруппы D в основном проживают в Восточной Евразии. Например, в Северной Азии таких людей около 16 процентов, в Восточной — примерно 15 процентов, а в Центральной — около 13 процентов. Кроме того, антропологическое исследование показало, что форма резцов этой девочки соответствует современным популяциям монголоидной расы и практически не встречается у европеоидов.","Археология
Антропология",['2.9']
https://nplus1.ru//news/2021/12/10/hiv-mrna,2021-12-10,Анастасия Кузнецова-Фантони,,мРНК-вакцину против ВИЧ испытали на макаках,"Американские ученые разработали вакцину от ВИЧ на основе мРНК. В доклинических испытаниях на макаках препарат снизил риск заразиться вирусом на 79 процентов. Вакцина все еще нуждается в доработке — она не генерирует оптимальные для защиты уровни антител, а кроме этого, ее надо вводить многократно. Исследование опубликовано в Nature Medicine.Пандемия ВИЧ длится уже более сорока лет и, если с появлением SARs-CoV-2, ученым удалось разработать прививку менее чем за год, то с вакциной против ВИЧ дело оказалось намного сложнее. Вирус иммунодефицита очень быстро мутирует (даже внутри одного человека), а также защищает себя от распознавания антителами гликановым щитом.Все вакцины против ВИЧ потерпели неудачу в доклинических и клинических исследованиях. Ближе всего к задуманному подобралась комбинация векторной вакцины с пептидной вакциной — в клинических испытаниях в Таиланде она показала эффективность в 30 процентов. Несмотря на первые обнадеживающие результаты, препарату не удалось повторить их в других исследованиях с участием людей. Сейчас на разных стадиях клинических испытаний находятся несколько вакцин от ВИЧ, в том числе и препарат, разработанный новосибирским центром «Вектор».В скором времени в этом списке может появиться еще и мРНК-вакцина от ВИЧ — мРНК заставляют организм производить вирусоподобные частицы, которые не могут размножаться, но обучают иммунную систему распознавать их. Ученые из Национального института аллергии и инфекционных заболеваний США во главе с Паоло Луссо (Paolo Lusso) рассказали о результатах доклинических испытаний. Исследования проводили на мышах и макаках: животным ввели мРНК, кодирующую информацию о белке ВИЧ Env и белке Gag вируса иммунодефицита обезьян.Сначала исследователи убедились, что вакцина вызывает выработку антител: их обнаружили у всех исследованных мышей (8 животных). Когда биологи ввели только мРНК, кодирующую белок Env, антитела нашли только у пяти из восьми мышей.Далее вакцину испытали на макаках. После первой иммунизации смесью мРНК, кодирующей Env и Gag одного из вариантов ВИЧ, обезьянам через каждые восемь недель вводили Env от двух других вариантов вируса, чтобы усилить иммунный ответ. После окончания курса прививок обезьян заразили вирусом иммунодефицита обезьян, вводя его ректально каждую неделю.Через 13 недель две из семи обезьян в вакцинированной группе остались здоровы, а в группе, которую не прививали, заразились все животные (7 особей). Кроме этого, обезьяны из вакцинированной группы заразились вирусом иммунодефицита позже, чем непривитые животные (в среднем через 8 недель и через 3 недели соответственно). Исследователи рассчитали, что вакцина снижает риск заразиться вирусом иммунодефицита при встрече с ним на 79 процентов.Биологи планируют улучшить качество образующихся вирусоподобных частиц, чтобы увеличить эффективность препарата. В будущем они хотят снизить число вакцинных доз, необходимых для формирования иммунитета. Пока неизвестно, когда вакцину пустят в клинически испытания.",Медицина,['4.1']
https://nplus1.ru//news/2021/12/10/oystamaran,2021-12-10,Василиса Чернявцева,,Робокатамаран перевернет садки с устрицами,"Студенты из Массачусетского технологического института создали и протестировали роботизированный катамаран Oystamaran для устричных ферм. Он переворачивает садки с устрицами, чтобы водоросли и другие морские организмы не блокировали моллюскам приток воды. Один из способов выращивания устриц — в садках, которые плавают на поверхности воды. До того, как моллюски созреют, вес садков достигает 27-32 килограмм. Пока садки находятся в воде, на их нижней части нарастают водоросли, усоногие и другие морские организмы. Они блокируют приток воды, необходимый устрицам для роста. Поэтому садки нужно переворачивать, примерно 11 раз в год, чтобы обрастания высыхали на солнце и воздухе и отваливались. Сейчас эту работу выполняют фермеры на каяках. Студенты из Массачусетского технологического института под руководством Мишель Корнберг, которая уже выпустилась, создали электрический катамаран Oystamaran для работы на устричных фермах. Он захватывает садок с устрицами так, что тот оказывается между двумя поплавками, а потом с помощью манипулятора его переворачивает. Сейчас Oystamaran выполняет большую часть работы в режиме дистанционного управления. Его уже тестировали на устричной ферме Ward Aquafarms. Студенты работают, чтобы сделать Oystamaran полностью автономным. ",Роботы и дроны,['1.8']
